AreaName
"Montgomery, AL MSA"
"Garfield County, CO"
"Grand County, CO"
"Gunnison County, CO"
"Hinsdale County, CO"
"Huerfano County, CO"
"Jackson County, CO"
"Kiowa County, CO"
"Kit Carson County, CO"
"Lake County, CO"
"La Plata County, CO"
"Fort Collins, CO MSA"
"Las Animas County, CO"
"Lincoln County, CO"
"Logan County, CO"
"Grand Junction, CO MSA"
"Mineral County, CO"
"Moffat County, CO"
"Montezuma County, CO"
"Montrose County, CO"
"Morgan County, CO"
"Otero County, CO"
"Ouray County, CO"
"Phillips County, CO"
"Pitkin County, CO"
"Prowers County, CO"
"Pueblo, CO MSA"
"Rio Blanco County, CO"
"Rio Grande County, CO"
"Routt County, CO"
"Saguache County, CO"
"San Juan County, CO"
"San Miguel County, CO"
"Sedgwick County, CO"
"Summit County, CO"
"Teller County, CO HUD Metro FMR Area"
"Washington County, CO"
"Greeley, CO MSA"
"Yuma County, CO"
"Bridgeport, CT HUD Metro FMR Area | Danbury, CT HUD Metro FMR Area | Stamford-Norwalk, CT HUD Metro FMR Area |"
"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area"
"Litchfield County, CT"
"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area | Southern Middlesex County, CT HUD Metro FMR Area |  |"
"Milford-Ansonia-Seymour, CT HUD Metro FMR Area | New Haven-Meriden, CT HUD Metro FMR Area | Waterbury, CT HUD Metro FMR Area |"
"Norwich-New London, CT HUD Metro FMR Area | Colchester-Lebanon, CT HUD Metro FMR Area |  |"
"Windham County, CT HUD Metro FMR Area"
"Dover, DE MSA"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"Sussex County, DE HUD Metro FMR Area"
"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area"
"Gainesville, FL MSA"
"Baker County, FL HUD Metro FMR Area"
"Panama City-Lynn Haven-Panama City Beach, FL HUD Metro FMR Area"
"Bradford County, FL"
"Palm Bay-Melbourne-Titusville, FL MSA"
"Fort Lauderdale, FL HUD Metro FMR Area"
"Calhoun County, FL"
"Punta Gorda, FL MSA"
"Homosassa Springs, FL MSA"
"Jacksonville, FL HUD Metro FMR Area"
"Naples-Immokalee-Marco Island, FL MSA"
"Columbia County, FL"
"DeSoto County, FL"
"Dixie County, FL"
"Pensacola-Ferry Pass-Brent, FL MSA"
"Palm Coast, FL HUD Metro FMR Area"
"Franklin County, FL"
"Tallahassee, FL HUD Metro FMR Area"
"Glades County, FL"
"Gulf County, FL HUD Metro FMR Area"
"Hamilton County, FL"
"Hardee County, FL"
"Hendry County, FL"
"Tampa-St. Petersburg-Clearwater, FL MSA"
"Sebring, FL MSA"
"Holmes County, FL"
"Sebastian-Vero Beach, FL MSA"
"Jackson County, FL"
"Lafayette County, FL"
"Orlando-Kissimmee-Sanford, FL MSA"
"Cape Coral-Fort Myers, FL MSA"
"Levy County, FL"
"Liberty County, FL"
"Madison County, FL"
"North Port-Sarasota-Bradenton, FL MSA"
"Ocala, FL MSA"
"Port St. Lucie, FL MSA"
"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area"
"Monroe County, FL"
"Crestview-Fort Walton Beach-Destin, FL HUD Metro FMR Area"
"Okeechobee County, FL"
"West Palm Beach-Boca Raton, FL HUD Metro FMR Area"
"Lakeland-Winter Haven, FL MSA"
"Putnam County, FL"
"The Villages, FL MSA"
"Suwannee County, FL"
"Taylor County, FL"
"Union County, FL"
"Deltona-Daytona Beach-Ormond Beach, FL HUD Metro FMR Area"
"Wakulla County, FL HUD Metro FMR Area"
"Walton County, FL HUD Metro FMR Area"
"Washington County, FL"
"Appling County, GA"
"Atkinson County, GA"
"Bacon County, GA"
"Albany, GA MSA"
"Baldwin County, GA"
"Banks County, GA"
"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area"
"Ben Hill County, GA"
"Berrien County, GA"
"Macon-Bibb County, GA HUD Metro FMR Area"
"Bleckley County, GA"
"Brunswick, GA MSA"
"Valdosta, GA MSA"
"Savannah, GA MSA"
"Bulloch County, GA"
"Augusta-Richmond County, GA-SC HUD Metro FMR Area"
"Butts County, GA HUD Metro FMR Area"
"Calhoun County, GA"
"Camden County, GA"
"Candler County, GA"
"Chattanooga, TN-GA MSA"
"Charlton County, GA"
"Chattooga County, GA"
"Athens-Clarke County, GA MSA"
"Clay County, GA"
"Clinch County, GA"
"Coffee County, GA"
"Colquitt County, GA"
"Cook County, GA"
"Crisp County, GA"
"Decatur County, GA"
"Dodge County, GA"
"Dooly County, GA"
"Early County, GA"
"Elbert County, GA"
"Emanuel County, GA"
"Evans County, GA"
"Fannin County, GA"
"Rome, GA MSA"
"Franklin County, GA"
"Gilmer County, GA"
"Glascock County, GA"
"Gordon County, GA"
"Grady County, GA"
"Greene County, GA"
"Habersham County, GA"
"Gainesville, GA MSA"
"Hancock County, GA"
"Haralson County, GA HUD Metro FMR Area"
"Hart County, GA"
"Warner Robins, GA HUD Metro FMR Area"
"Irwin County, GA"
"Jackson County, GA"
"Jeff Davis County, GA"
"Jefferson County, GA"
"Jenkins County, GA"
"Johnson County, GA"
"Lamar County, GA HUD Metro FMR Area"
"Laurens County, GA"
"Hinesville, GA HUD Metro FMR Area"
"Lincoln County, GA HUD Metro FMR Area"
"Long County, GA HUD Metro FMR Area"
"Lumpkin County, GA"
"Macon County, GA"
"Meriwether County, GA HUD Metro FMR Area"
"Miller County, GA"
"Mitchell County, GA"
"Monroe County, GA HUD Metro FMR Area"
"Montgomery County, GA"
"Morgan County, GA HUD Metro FMR Area"
"Murray County, GA HUD Metro FMR Area"
"Peach County, GA HUD Metro FMR Area"
"Pierce County, GA"
"Polk County, GA"
"Pulaski County, GA HUD Metro FMR Area"
"Putnam County, GA"
"Quitman County, GA"
"Rabun County, GA"
"Randolph County, GA"
"Schley County, GA"
"Screven County, GA"
"Seminole County, GA"
"Stephens County, GA"
"Stewart County, GA"
"Sumter County, GA"
"Talbot County, GA"
"Taliaferro County, GA"
"Tattnall County, GA"
"Taylor County, GA"
"Telfair County, GA"
"Thomas County, GA"
"Tift County, GA"
"Toombs County, GA"
"Towns County, GA"
"Treutlen County, GA"
"Troup County, GA"
"Turner County, GA"
"Union County, GA"
"Upson County, GA"
"Ware County, GA"
"Warren County, GA"
"Washington County, GA"
"Wayne County, GA"
"Webster County, GA"
"Wheeler County, GA"
"White County, GA"
"Dalton, GA HUD Metro FMR Area"
"Wilcox County, GA"
"Wilkes County, GA"
"Wilkinson County, GA"
"Hawaii County, HI"
"Urban Honolulu, HI MSA"
"Kahului-Wailuku-Lahaina, HI MSA"
"Kauai County, HI"
"Boise City, ID HUD Metro FMR Area"
"Adams County, ID"
"Pocatello, ID MSA"
"Bear Lake County, ID"
"Benewah County, ID"
"Bingham County, ID"
"Blaine County, ID"
"Bonner County, ID"
"Idaho Falls, ID HUD Metro FMR Area"
"Boundary County, ID"
"Butte County, ID HUD Metro FMR Area"
"Camas County, ID"
"Caribou County, ID"
"Cassia County, ID"
"Clark County, ID"
"Clearwater County, ID"
"Custer County, ID"
"Elmore County, ID"
"Logan, UT-ID MSA"
"Fremont County, ID"
"Gem County, ID HUD Metro FMR Area"
"Gooding County, ID"
"Idaho County, ID"
"Jerome County, ID HUD Metro FMR Area"
"Coeur d'Alene, ID MSA"
"Latah County, ID"
"Lemhi County, ID"
"Lewis County, ID"
"Lincoln County, ID"
"Madison County, ID"
"Minidoka County, ID"
"Lewiston, ID-WA MSA"
"Oneida County, ID"
"Payette County, ID"
"Power County, ID"
"Shoshone County, ID"
"Teton County, ID"
"Twin Falls County, ID HUD Metro FMR Area"
"Valley County, ID"
"Washington County, ID"
"Adams County, IL"
"Cape Girardeau, MO-IL MSA"
"Bond County, IL HUD Metro FMR Area"
"Rockford, IL MSA"
"Brown County, IL"
"Bureau County, IL"
"St. Louis, MO-IL HUD Metro FMR Area"
"Carroll County, IL"
"Cass County, IL"
"Champaign-Urbana, IL MSA"
"Christian County, IL"
"Clark County, IL"
"Clay County, IL"
"Coles County, IL"
"Chicago-Joliet-Naperville, IL HUD Metro FMR Area"
"Crawford County, IL"
"Cumberland County, IL"
"DeKalb County, IL HUD Metro FMR Area"
"De Witt County, IL HUD Metro FMR Area"
"Douglas County, IL"
"Edgar County, IL"
"Edwards County, IL"
"Effingham County, IL"
"Fayette County, IL"
"Franklin County, IL"
"Fulton County, IL"
"Gallatin County, IL"
"Greene County, IL"
"Grundy County, IL HUD Metro FMR Area"
"Hamilton County, IL"
"Hancock County, IL"
"Hardin County, IL"
"Henderson County, IL"
"Davenport-Moline-Rock Island, IA-IL MSA"
"Iroquois County, IL"
"Jackson County, IL HUD Metro FMR Area"
"Jasper County, IL"
"Jefferson County, IL"
"Jo Daviess County, IL"
"Johnson County, IL"
"Kankakee, IL MSA"
"Kendall County, IL HUD Metro FMR Area"
"Knox County, IL"
"La Salle County, IL"
"Lawrence County, IL"
"Lee County, IL"
"Livingston County, IL"
"Logan County, IL"
"McDonough County, IL"
"Bloomington, IL  HUD Metro FMR Area"
"Decatur, IL MSA"
"Macoupin County, IL HUD Metro FMR Area"
"Marion County, IL"
"Peoria, IL MSA"
"Mason County, IL"
"Massac County, IL"
"Springfield, IL MSA"
"Montgomery County, IL"
"Morgan County, IL"
"Moultrie County, IL"
"Ogle County, IL"
"Perry County, IL"
"Pike County, IL"
"Pope County, IL"
"Pulaski County, IL"
"Putnam County, IL"
"Randolph County, IL"
"Richland County, IL"
"Saline County, IL"
"Schuyler County, IL"
"Scott County, IL"
"Shelby County, IL"
"Stephenson County, IL"
"Union County, IL"
"Danville, IL MSA"
"Wabash County, IL"
"Warren County, IL"
"Washington County, IL"
"Wayne County, IL"
"White County, IL"
"Whiteside County, IL"
"Williamson County, IL HUD Metro FMR Area"
"Adams County, IN"
"Fort Wayne, IN MSA"
"Columbus, IN MSA"
"Lafayette-West Lafayette, IN HUD Metro FMR Area"
"Blackford County, IN"
"Indianapolis-Carmel, IN HUD Metro FMR Area"
"Carroll County, IN HUD Metro FMR Area"
"Cass County, IN"
"Louisville, KY-IN HUD Metro FMR Area"
"Terre Haute, IN HUD Metro FMR Area"
"Clinton County, IN"
"Crawford County, IN"
"Daviess County, IN"
"Cincinnati, OH-KY-IN  HUD Metro FMR Area"
"Decatur County, IN"
"DeKalb County, IN"
"Muncie, IN MSA"
"Dubois County, IN"
"Elkhart-Goshen, IN MSA"
"Fayette County, IN"
"Fountain County, IN"
"Franklin County, IN"
"Fulton County, IN"
"Gibson County, IN"
"Grant County, IN"
"Greene County, IN"
"Henry County, IN"
"Kokomo, IN MSA"
"Huntington County, IN"
"Jackson County, IN"
"Jasper County, IN HUD Metro FMR Area"
"Jay County, IN"
"Jefferson County, IN"
"Jennings County, IN"
"Knox County, IN"
"Kosciusko County, IN"
"LaGrange County, IN"
"Gary, IN HUD Metro FMR Area"
"Michigan City-La Porte, IN MSA"
"Lawrence County, IN"
"Anderson, IN HUD Metro FMR Area"
"Marshall County, IN"
"Martin County, IN"
"Miami County, IN"
"Bloomington, IN HUD Metro FMR Area"
"Montgomery County, IN"
"Noble County, IN"
"Orange County, IN"
"Owen County, IN HUD Metro FMR Area"
"Parke County, IN"
"Perry County, IN"
"Pike County, IN"
"Evansville, IN-KY MSA"
"Pulaski County, IN"
"Putnam County, IN HUD Metro FMR Area"
"Randolph County, IN"
"Ripley County, IN"
"Rush County, IN"
"South Bend-Mishawaka, IN HUD Metro FMR Area"
"Scott County, IN HUD Metro FMR Area"
"Spencer County, IN"
"Starke County, IN"
"Steuben County, IN"
"Sullivan County, IN HUD Metro FMR Area"
"Switzerland County, IN"
"Tipton County, IN"
"Union County, IN HUD Metro FMR Area"
"Wabash County, IN"
"Warren County, IN"
"Washington County, IN HUD Metro FMR Area"
"Wayne County, IN"
"White County, IN"
"Adair County, IA"
"Adams County, IA"
"Allamakee County, IA"
"Appanoose County, IA"
"Audubon County, IA"
"Benton County, IA HUD Metro FMR Area"
"Waterloo-Cedar Falls, IA HUD Metro FMR Area"
"Boone County, IA"
"Bremer County, IA HUD Metro FMR Area"
"Buchanan County, IA"
"Buena Vista County, IA"
"Butler County, IA"
"Calhoun County, IA"
"Carroll County, IA"
"Cass County, IA"
"Cedar County, IA"
"Cerro Gordo County, IA"
"Cherokee County, IA"
"Chickasaw County, IA"
"Clarke County, IA"
"Clay County, IA"
"Clayton County, IA"
"Clinton County, IA"
"Crawford County, IA"
"Des Moines-West Des Moines, IA MSA"
"Davis County, IA"
"Decatur County, IA"
"Delaware County, IA"
"Des Moines County, IA"
"Dickinson County, IA"
"Dubuque, IA MSA"
"Emmet County, IA"
"Fayette County, IA"
"Floyd County, IA"
"Franklin County, IA"
"Fremont County, IA"
"Greene County, IA"
"Hamilton County, IA"
"Hancock County, IA"
"Hardin County, IA"
"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area"
"Henry County, IA"
"Howard County, IA"
"Humboldt County, IA"
"Ida County, IA"
"Iowa County, IA"
"Jackson County, IA"
"Jasper County, IA"
"Jefferson County, IA"
"Iowa City, IA HUD Metro FMR Area"
"Jones County, IA HUD Metro FMR Area"
"Keokuk County, IA"
"Kossuth County, IA"
"Lee County, IA"
"Cedar Rapids, IA HUD Metro FMR Area"
"Louisa County, IA"
"Lucas County, IA"
"Lyon County, IA"
"Mahaska County, IA"
"Marion County, IA"
"Marshall County, IA"
"Mitchell County, IA"
"Monona County, IA"
"Monroe County, IA"
"Montgomery County, IA"
"Muscatine County, IA"
"O'Brien County, IA"
"Osceola County, IA"
"Page County, IA"
"Palo Alto County, IA"
"Plymouth County, IA HUD Metro FMR Area"
"Pocahontas County, IA"
"Poweshiek County, IA"
"Ringgold County, IA"
"Sac County, IA"
"Shelby County, IA"
"Sioux County, IA"
"Ames, IA MSA"
"Tama County, IA"
"Taylor County, IA"
"Union County, IA"
"Van Buren County, IA"
"Wapello County, IA"
"Washington County, IA HUD Metro FMR Area"
"Wayne County, IA"
"Webster County, IA"
"Winnebago County, IA"
"Winneshiek County, IA"
"Sioux City, IA-NE-SD HUD Metro FMR Area"
"Worth County, IA"
"Wright County, IA"
"Allen County, KS"
"Anderson County, KS"
"Atchison County, KS"
"Barber County, KS"
"Barton County, KS"
"Bourbon County, KS"
"Brown County, KS"
"Wichita, KS HUD Metro FMR Area"
"Chase County, KS"
"Chautauqua County, KS"
"Cherokee County, KS"
"Cheyenne County, KS"
"Clark County, KS"
"Clay County, KS"
"Cloud County, KS"
"Coffey County, KS"
"Comanche County, KS"
"Cowley County, KS"
"Crawford County, KS"
"Decatur County, KS"
"Dickinson County, KS"
"St. Joseph, MO-KS MSA"
"Lawrence, KS MSA"
"Edwards County, KS"
"Elk County, KS"
"Ellis County, KS"
"Ellsworth County, KS"
"Finney County, KS"
"Ford County, KS"
"Franklin County, KS"
"Geary County, KS"
"Gove County, KS"
"Graham County, KS"
"Grant County, KS"
"Gray County, KS"
"Greeley County, KS"
"Greenwood County, KS"
"Hamilton County, KS"
"Harper County, KS"
"Haskell County, KS"
"Hodgeman County, KS"
"Topeka, KS MSA"
"Jewell County, KS"
"Kansas City, MO-KS HUD Metro FMR Area"
"Kearny County, KS"
"Kingman County, KS HUD Metro FMR Area"
"Kiowa County, KS"
"Labette County, KS"
"Lane County, KS"
"Lincoln County, KS"
"Logan County, KS"
"Lyon County, KS"
"McPherson County, KS"
"Marion County, KS"
"Marshall County, KS"
"Meade County, KS"
"Mitchell County, KS"
"Montgomery County, KS"
"Morris County, KS"
"Morton County, KS"
"Nemaha County, KS"
"Neosho County, KS"
"Ness County, KS"
"Norton County, KS"
"Osborne County, KS"
"Ottawa County, KS"
"Pawnee County, KS"
"Phillips County, KS"
"Manhattan, KS MSA"
"Pratt County, KS"
"Rawlins County, KS"
"Reno County, KS"
"Republic County, KS"
"Rice County, KS"
"Rooks County, KS"
"Rush County, KS"
"Russell County, KS"
"Saline County, KS"
"Scott County, KS"
"Seward County, KS"
"Sheridan County, KS"
"Sherman County, KS"
"Smith County, KS"
"Stafford County, KS"
"Stanton County, KS"
"Stevens County, KS"
"Sumner County, KS HUD Metro FMR Area"
"Thomas County, KS"
"Trego County, KS"
"Wallace County, KS"
"Washington County, KS"
"Wichita County, KS"
"Wilson County, KS"
"Woodson County, KS"
"Adair County, KY"
"Allen County, KY HUD Metro FMR Area"
"Anderson County, KY"
"Ballard County, KY"
"Barren County, KY"
"Bath County, KY"
"Bell County, KY"
"Lexington-Fayette, KY MSA"
"Huntington-Ashland, WV-KY-OH HUD Metro FMR Area"
"Boyle County, KY"
"Breathitt County, KY"
"Breckinridge County, KY"
"Butler County, KY HUD Metro FMR Area"
"Caldwell County, KY"
"Calloway County, KY"
"Carlisle County, KY"
"Carroll County, KY"
"Carter County, KY"
"Casey County, KY"
"Clarksville, TN-KY MSA"
"Clay County, KY"
"Clinton County, KY"
"Crittenden County, KY"
"Cumberland County, KY"
"Owensboro, KY MSA"
"Bowling Green, KY HUD Metro FMR Area"
"Elliott County, KY"
"Estill County, KY"
"Fleming County, KY"
"Floyd County, KY"
"Franklin County, KY"
"Fulton County, KY"
"Garrard County, KY"
"Grant County, KY HUD Metro FMR Area"
"Graves County, KY"
"Grayson County, KY"
"Green County, KY"
"Elizabethtown, KY HUD Metro FMR Area"
"Harlan County, KY"
"Harrison County, KY"
"Hart County, KY"
"Hickman County, KY"
"Hopkins County, KY"
"Jackson County, KY"
"Johnson County, KY"
"Knott County, KY"
"Knox County, KY"
"Laurel County, KY"
"Lawrence County, KY"
"Lee County, KY"
"Leslie County, KY"
"Letcher County, KY"
"Lewis County, KY"
"Lincoln County, KY"
"Livingston County, KY"
"Logan County, KY"
"Lyon County, KY"
"McCracken County, KY"
"McCreary County, KY"
"Madison County, KY"
"Magoffin County, KY"
"Marion County, KY"
"Marshall County, KY"
"Martin County, KY"
"Mason County, KY"
"Meade County, KY HUD Metro FMR Area"
"Menifee County, KY"
"Mercer County, KY"
"Metcalfe County, KY"
"Monroe County, KY"
"Montgomery County, KY"
"Morgan County, KY"
"Muhlenberg County, KY"
"Nelson County, KY"
"Nicholas County, KY"
"Ohio County, KY"
"Owen County, KY"
"Owsley County, KY"
"Perry County, KY"
"Pike County, KY"
"Powell County, KY"
"Pulaski County, KY"
"Robertson County, KY"
"Rockcastle County, KY"
"Rowan County, KY"
"Russell County, KY"
"Shelby County, KY HUD Metro FMR Area"
"Simpson County, KY"
"Taylor County, KY"
"Todd County, KY"
"Union County, KY"
"Washington County, KY"
"Wayne County, KY"
"Webster County, KY"
"Whitley County, KY"
"Wolfe County, KY"
"Acadia Parish, LA HUD Metro FMR Area"
"Allen Parish, LA"
"Baton Rouge, LA HUD Metro FMR Area"
"Assumption Parish, LA"
"Avoyelles Parish, LA"
"Beauregard Parish, LA"
"Bienville Parish, LA"
"Shreveport-Bossier City, LA HUD Metro FMR Area"
"Lake Charles, LA MSA"
"Caldwell Parish, LA"
"Catahoula Parish, LA"
"Claiborne Parish, LA"
"Concordia Parish, LA"
"East Carroll Parish, LA"
"Evangeline Parish, LA"
"Franklin Parish, LA"
"Alexandria, LA MSA"
"Iberia Parish, LA HUD Metro FMR Area"
"Iberville Parish, LA HUD Metro FMR Area"
"Jackson Parish, LA"
"New Orleans-Metairie, LA HUD Metro FMR Area"
"Jefferson Davis Parish, LA"
"Lafayette, LA HUD Metro FMR Area"
"Houma-Thibodaux, LA MSA"
"La Salle Parish, LA"
"Lincoln Parish, LA"
"Madison Parish, LA"
"Morehouse Parish, LA"
"Natchitoches Parish, LA"
"Monroe, LA MSA"
"Red River Parish, LA"
"Richland Parish, LA"
"Sabine Parish, LA"
"St. James Parish, LA HUD Metro FMR Area"
"St. Landry Parish, LA"
"St. Mary Parish, LA"
"Hammond, LA MSA"
"Tensas Parish, LA"
"Vermilion Parish, LA HUD Metro FMR Area"
"Vernon Parish, LA"
"Washington Parish, LA"
"Webster Parish, LA HUD Metro FMR Area"
"West Carroll Parish, LA"
"Winn Parish, LA"
"Lewiston-Auburn, ME MSA"
"Aroostook County, ME"
"Portland, ME HUD Metro FMR Area | Cumberland County, ME (part) HUD Metro FMR Area |  |"
"Franklin County, ME"
"Hancock County, ME"
"Kennebec County, ME"
"Knox County, ME"
"Lincoln County, ME"
"Oxford County, ME"
"Bangor, ME HUD Metro FMR Area | Penobscot County, ME (part) HUD Metro FMR Area |  |"
"Piscataquis County, ME"
"Sagadahoc County, ME HUD Metro FMR Area"
"Somerset County, ME"
"Waldo County, ME"
"Washington County, ME"
"Portland, ME HUD Metro FMR Area | York-Kittery-South Berwick, ME HUD Metro FMR Area | York County, ME (part) HUD Metro FMR Area |"
"Cumberland, MD-WV MSA"
"Baltimore-Columbia-Towson, MD MSA"
"Caroline County, MD"
"Dorchester County, MD"
"Garrett County, MD"
"Kent County, MD"
"California-Lexington Park, MD MSA"
"Somerset County, MD HUD Metro FMR Area"
"Talbot County, MD"
"Hagerstown, MD HUD Metro FMR Area"
"Salisbury, MD HUD Metro FMR Area"
"Worcester County, MD HUD Metro FMR Area"
"Barnstable Town, MA MSA"
